"wid","truth","confidence","note"
"g13","record","low","subagent task execution; ledger and review findings written up; not a writing window"
"g14","record","low","task execution plus one follow-up spec recorded; mixed"
"g15","record","med","review verdicts scored and tabulated; then two scripts built"
"g16","record","med","prompt iteration with measured result tables"
"g17","plan","high","GKE/Argo design doc then spec then implementation plan"
"g18","record","low","merge/ship/build; only writing act is a session memory"
"g19","plan","high","session-story spec written and revised then the plan"
"g20","record","low","task execution and review reporting; overlaps g14"
"g21","plan","high","writing-plans skill; plan committed with 13 tasks"
"g22","record","low","spec/plan amended; verification writeups dominate"
"g23","plan","low","design/spec/plan then a long coding run; prose share 0.04"
"g24","record","low","pure feature implementation and merge; no writing work"
"g25","record","med","task execution with report writing and review"
"g26","record","med","numeric verification tables and a scope decision"
"g27","record","low","plan corrected then independent verification"
"g28","plan","med","brainstorming the gallery spec against current state"
"g29","explain","high","README audit and rewrite plus loadtest README"
"g30","plan","high","cost-semantics design doc written then the plan"
"g31","record","med","perf audit; query-count and latency findings"
"g32","record","med","release shipped and written up with evidence"
"g33","plan","med","langgraph spec committed then sqlite measurement"
"g34","record","low","task execution and reviews"
"g35","plan","med","cross-repo design presented section by section"
"g36","record","low","wrap-up writeup then Phase 2 execution"
